Technology,Category,Score,Status,Hide,Previous status,Description,URL,Sub-Category
AWS S3,Data Mgt,2,ADOPT,,,file object store ,,
Redis,Data Mgt,2,ADOPT,,,NoSql DB/caching,,CACHING
ElasticSearch,Data Mgt,1.8,ADOPT,,,NoSql Search DB,,NOSQL
RabbitMQ,Data Mgt,-1.1,HOLD,,,message queues,,MESSAGING
MemCached,Data Mgt,-2,HOLD,,,caching,,CACHING
CacheManager,Data Mgt,1.6,ADOPT,,,Caching framework,,CACHING
Flink,Data Mgt,0.1,TRIAL,,,event processing,,
AWS DynamoDB,Data Mgt,-0.3,ASSESS,,,NoSql DB,,NOSQL
Talend Open Studio,Data Mgt,-1.2,ASSESS,,,ETL and data integration,,
Tableau,Data Mgt,2,ADOPT,,,BI and analytics platform,,
SQL Server 2016,Data Mgt,2,ADOPT,,,RDMS,,
AWS RDS,Data Mgt,2,ADOPT,,,Managed database service,,
DataModeler,Data Mgt,2,ADOPT,,,,,
Java,Languages,2,ADOPT,,,impl. language,,
Javascript,Languages,2,ADOPT,,,impl. language,,
Python,Languages,2,ADOPT,,,impl. language,,
Swift,Languages,1.8,ADOPT,,,impl. language,,
ObjectiveC,Languages,-2,HOLD,,,impl. language,,
R,Languages,1.8,ADOPT,,,impl. language,,
Ruby,Languages,-1.9,HOLD,,,impl. language,,
.NET,Languages,2,HOLD,,,impl. language,,
Mono,Languages,1.2,TRIAL,,,"C# based, .NET compatible RTE",,
Clojure,Languages,1.3,TRIAL,,,impl. language,,
SASS,Languages,2,ADOPT,,,CSS extension language,,
Go,Languages,-1,ASSESS,,,,,
Docker,Platforms & Infrastructure,2,ADOPT,,,Container/Deployment,,
Nginx,Platforms & Infrastructure,1.9,ADOPT,,,webserver / loadbalancer,,
AWS Lambda,Platforms & Infrastructure,-0.8,ASSESS,,,computing service,,
Powershell 4,Platforms & Infrastructure,2,ADOPT,,,Windows scripting,,
Force.com,Platforms & Infrastructure,1.5,ADOPT,,,SaaS Platform,,
logback,Platforms & Infrastructure,0.7,TRIAL,,,Logging-Framework,,
log4j,Platforms & Infrastructure,-1.2,HOLD,,,Logging-Framework,,
Nlog,Platforms & Infrastructure,1.8,ADOPT,,,Logging-Framework,,
Log4Net,Platforms & Infrastructure,-1.6,HOLD,,,Logging-Framework,,
Exceptionless,Platforms & Infrastructure,-0.4,ASSESS,,,Cloud based error reporting service,https://exceptionless.com/,
Jenkins,Platforms & Infrastructure,-2,HOLD,,,CI build tool,,
NPM,Platforms & Infrastructure,2,ADOPT,,,Node package manager,,
Gulp,Platforms & Infrastructure,2,ADOPT,,,Front end build tool,,
Yarn,Platforms & Infrastructure,2,ADOPT,,,package manager,,
New Relic,Platforms & Infrastructure,-1.6,HOLD,,,Monitoring ,,
Zabbix,Platforms & Infrastructure,1.5,ADOPT,,,Monitoring ,,
ApplicationInsight,Platforms & Infrastructure,-1.6,HOLD,,,Monitoring ,,
Cloudfront,Platforms & Infrastructure,1.7,ADOPT,,,CDN (AWS),,
AWS EC2,Platforms & Infrastructure,2,ADOPT,,,server instances,,
AWS ELB,Platforms & Infrastructure,2,ADOPT,,,Elastic Load balancer,,
AWS ALB,Platforms & Infrastructure,1.4,TRIAL,,,Application load balancer,,
Windows Server 2008 R2 DC,Platforms & Infrastructure,-2,HOLD,,,Server OS,,
Windows Server 2012 R2 DC,Platforms & Infrastructure,-2,HOLD,,,Server OS,,
Windows Server 2012 R2 Std,Platforms & Infrastructure,-2,HOLD,,,Server OS,,
Windows Server 2016 DC,Platforms & Infrastructure,1.6,ADOPT,,,Server OS,,
Ubuntu,Platforms & Infrastructure,1.6,ADOPT,,,Server OS,,
AWS Cloudtrail,Platforms & Infrastructure,2,ADOPT,,,Cloud auditing,,
AWS Route53,Platforms & Infrastructure,1.6,ADOPT,,,DNS service,,
AWS SNS,Platforms & Infrastructure,-0.8,ASSESS,,,Event driven notification service,,
Webpack,Platforms & Infrastructure,2,ADOPT,,,Front end build tool/framework,,
OpenAPI (Swagger),Techniques; Frameworks & Tools,1.8,ADOPT,,,rest api frw,,
ReactJS,Techniques; Frameworks & Tools,1.1,TRIAL,,,JS framework for SPA,,
Node.js ,Techniques; Frameworks & Tools,0.6,TRIAL,,,server-side JS,,
Flux,Techniques; Frameworks & Tools,-0.7,ASSESS,,,JS methodology for usage with React,,
jQuery,Techniques; Frameworks & Tools,-0.7,ASSESS,,,JS framework,,
AngularJS 1.x,Techniques; Frameworks & Tools,-2,HOLD,,,JS framework,,
Entity Framework,Techniques; Frameworks & Tools,-2,HOLD,,,.Net ORM,,
Asp.Net Web API,Techniques; Frameworks & Tools,1.7,ADOPT,,,restful api framework,,
Asp.Net Core,Techniques; Frameworks & Tools,0.8,TRIAL,,,core .Net framework,,
Selenium,Techniques; Frameworks & Tools,2,ADOPT,,,UI testing framework for the web,,
Appium,Techniques; Frameworks & Tools,2,ADOPT,,,UI testing framework for native mobile apps,,
Asp.Net MVC,Techniques; Frameworks & Tools,-1.6,HOLD,,,ASP.Net MVC framework,,
MassTransit,Techniques; Frameworks & Tools,1.6,ADOPT,,,Messaging framework for .Net,,
Topshelf,Techniques; Frameworks & Tools,1.8,ADOPT,,,Windows service hosting framework,,
Quartz.net,Techniques; Frameworks & Tools,1.6,ADOPT,,,.Net scheduling framework,,
EasyNetQ,Techniques; Frameworks & Tools,-1.8,HOLD,,,RabbitMQ Client,,
Unity,Techniques; Frameworks & Tools,-1.6,HOLD,,,DI Framework,,
Autofac,Techniques; Frameworks & Tools,1.7,ADOPT,,,DI Framework,,
Automapper,Techniques; Frameworks & Tools,1.6,ADOPT,,,Mapping between entities and DTOs,,
JSON.net,Techniques; Frameworks & Tools,1.8,ADOPT,,,.Net JSON serializer,,
Qt,Techniques; Frameworks & Tools,-0.5,ASSESS,,,UI development framework for devices,https://www.qt.io/,
Nightwatch,Techniques; Frameworks & Tools,-0.5,ASSESS,,,Browser automated testing framework,http://nightwatchjs.org/,
JSReport,Techniques; Frameworks & Tools,1.6,ADOPT,,,Reporting framework,https://jsreport.net/,
Nunit,Techniques; Frameworks & Tools,-1.6,HOLD,,,Unit testing,,
xUnit,Techniques; Frameworks & Tools,2,ADOPT,,,Unit testing,https://xunit.github.io/,
Moq,Techniques; Frameworks & Tools,1.5,ADOPT,,,Mocking framework,,
Bootstrap,Techniques; Frameworks & Tools,1.6,ADOPT,,,JS based UI framework,,
EPPPlus,Techniques; Frameworks & Tools,1.1,TRIAL,,,Serverside spreadsheet generation,http://epplus.codeplex.com/,
Vue,Techniques; Frameworks & Tools,-0.4,ASSESS,,,JS framework,https://vuejs.org/,
Redux,Techniques; Frameworks & Tools,1.9,ADOPT,,,JS Framework,,
PostCSS,Techniques; Frameworks & Tools,2,ADOPT,,,CSS processor,,
Sinon,Techniques; Frameworks & Tools,1.8,ADOPT,,,JS mocking framework,,
Chai,Techniques; Frameworks & Tools,1.8,ADOPT,,,JS assertion library (for testing),,
Enzyme,Techniques; Frameworks & Tools,2,ADOPT,,,JS test library for React components,,
SoapUI,Techniques; Frameworks & Tools,1.6,ADOPT,,,API testing,,
Fiddler,Techniques; Frameworks & Tools,2,ADOPT,,,Network traffic analysis,,
Jmeter,Techniques; Frameworks & Tools,2,ADOPT,,,Load and performance testing,,
PostMan,Techniques; Frameworks & Tools,1.9,ADOPT,,,API testing,,
Karma,Techniques; Frameworks & Tools,2,ADOPT,,,Front end testing framework,,
Lodash,Techniques; Frameworks & Tools,1.7,ADOPT,,,"Lodash makes JavaScript easier by taking the hassle out of working with arrays, numbers, objects, strings, etc",https://lodash.com/,
BrowserSync,Techniques; Frameworks & Tools,0.9,TRIAL,,,Front end testing framework,https://browsersync.io/,
Jade,Techniques; Frameworks & Tools,-1.1,ASSESS,,,Template engine,https://www.npmjs.com/package/jade,
Crucible,Techniques; Frameworks & Tools,2,ADOPT,,,Code review tool,https://www.atlassian.com/software/crucible,
Fisheye,Techniques; Frameworks & Tools,2,ADOPT,,,Code review and visualization - see changes,https://www.atlassian.com/software/fisheye,
ESLint,Techniques; Frameworks & Tools,2,ADOPT,,,JS code quality - linting,,
StyleLint,Techniques; Frameworks & Tools,2,ADOPT,,,CSS code quality - linting,,
Babel,Techniques; Frameworks & Tools,0.4,TRIAL,,,JS transpiler,https://babeljs.io/,